batting_team,batsman
Chennai Super Kings,AT Rayudu
Chennai Super Kings,DJ Bravo
Chennai Super Kings,F du Plessis
Chennai Super Kings,MM Ali
Chennai Super Kings,MS Dhoni
Chennai Super Kings,RA Jadeja
Chennai Super Kings,RD Gaikwad
Chennai Super Kings,SK Raina
Chennai Super Kings,SM Curran
Chennai Super Kings,SN Thakur
Delhi Capitals,AM Rahane
Delhi Capitals,CR Woakes
Delhi Capitals,K Rabada
Delhi Capitals,Lalit Yadav
Delhi Capitals,MP Stoinis
Delhi Capitals,PP Shaw
Delhi Capitals,R Ashwin
Delhi Capitals,RR Pant
Delhi Capitals,S Dhawan
Delhi Capitals,SO Hetmyer
Delhi Capitals,SPD Smith
Delhi Capitals,TK Curran
Kolkata Knight Riders,AD Russell
Kolkata Knight Riders,CV Varun
Kolkata Knight Riders,EJG Morgan
Kolkata Knight Riders,Harbhajan Singh
Kolkata Knight Riders,KD Karthik
Kolkata Knight Riders,KL Nagarkoti
Kolkata Knight Riders,M Prasidh Krishna
Kolkata Knight Riders,N Rana
Kolkata Knight Riders,PJ Cummins
Kolkata Knight Riders,RA Tripathi
Kolkata Knight Riders,SP Narine
Kolkata Knight Riders,Shakib Al Hasan
Kolkata Knight Riders,Shivam Mavi
Kolkata Knight Riders,Shubman Gill
Mumbai Indians,CA Lynn
Mumbai Indians,HH Pandya
Mumbai Indians,Ishan Kishan
Mumbai Indians,J Yadav
Mumbai Indians,JJ Bumrah
Mumbai Indians,KA Pollard
Mumbai Indians,KH Pandya
Mumbai Indians,M Jansen
Mumbai Indians,Q de Kock
Mumbai Indians,RD Chahar
Mumbai Indians,RG Sharma
Mumbai Indians,SA Yadav
Mumbai Indians,TA Boult
Punjab Kings,Arshdeep Singh
Punjab Kings,CH Gayle
Punjab Kings,CJ Jordan
Punjab Kings,DJ Hooda
Punjab Kings,FA Allen
Punjab Kings,JA Richardson
Punjab Kings,KL Rahul
Punjab Kings,M Ashwin
Punjab Kings,M Shahrukh Khan
Punjab Kings,MA Agarwal
Punjab Kings,MC Henriques
Punjab Kings,Mohammed Shami
Punjab Kings,N Pooran
Punjab Kings,Ravi Bishnoi
Rajasthan Royals,BA Stokes
Rajasthan Royals,C Sakariya
Rajasthan Royals,CH Morris
Rajasthan Royals,DA Miller
Rajasthan Royals,JC Buttler
Rajasthan Royals,JD Unadkat
Rajasthan Royals,M Vohra
Rajasthan Royals,Mustafizur Rahman
Rajasthan Royals,R Parag
Rajasthan Royals,R Tewatia
Rajasthan Royals,S Dube
Rajasthan Royals,S Gopal
Rajasthan Royals,SV Samson
Rajasthan Royals,YBK Jaiswal
Royal Challengers Bangalore,AB de Villiers
Royal Challengers Bangalore,D Padikkal
Royal Challengers Bangalore,DT Christian
Royal Challengers Bangalore,GJ Maxwell
Royal Challengers Bangalore,HV Patel
Royal Challengers Bangalore,KA Jamieson
Royal Challengers Bangalore,Mohammed Siraj
Royal Challengers Bangalore,NA Saini
Royal Challengers Bangalore,RM Patidar
Royal Challengers Bangalore,Shahbaz Ahmed
Royal Challengers Bangalore,V Kohli
Royal Challengers Bangalore,Washington Sundar
Royal Challengers Bangalore,YS Chahal
Sunrisers Hyderabad,Abdul Samad
Sunrisers Hyderabad,Abhishek Sharma
Sunrisers Hyderabad,B Kumar
Sunrisers Hyderabad,DA Warner
Sunrisers Hyderabad,J Suchith
Sunrisers Hyderabad,JM Bairstow
Sunrisers Hyderabad,JO Holder
Sunrisers Hyderabad,KK Ahmed
Sunrisers Hyderabad,KM Jadhav
Sunrisers Hyderabad,KS Williamson
Sunrisers Hyderabad,MK Pandey
Sunrisers Hyderabad,Mohammad Nabi
Sunrisers Hyderabad,Mujeeb Ur Rahman
Sunrisers Hyderabad,Rashid Khan
Sunrisers Hyderabad,S Nadeem
Sunrisers Hyderabad,V Shankar
Sunrisers Hyderabad,Virat Singh
Sunrisers Hyderabad,WP Saha
